codigo_ibge,municipio_ibge,municipio_key,lat,lon
2900108,Abaíra,ABAIRA,-13.29654,-41.74404
2900207,Abaré,ABARE,-8.83329,-39.31781
2900306,Acajutiba,ACAJUTIBA,-11.66281,-38.00119
2900355,Adustina,ADUSTINA,-10.56279,-38.03776
2900405,Água Fria,AGUA FRIA,-11.82206,-38.70998
2900603,Aiquara,AIQUARA,-14.091,-39.87852
2900702,Alagoinhas,ALAGOINHAS,-12.11421,-38.4027
2900801,Alcobaça,ALCOBACA,-17.46851,-39.40969
2900900,Almadina,ALMADINA,-14.70071,-39.66409
2901007,Amargosa,AMARGOSA,-13.04183,-39.6264
2901106,Amélia Rodrigues,AMELIA RODRIGUES,-12.42134,-38.72135
2901155,América Dourada,AMERICA DOURADA,-11.40551,-41.52184
2901205,Anagé,ANAGE,-14.58903,-40.92864
2901304,Andaraí,ANDARAI,-12.73406,-41.21471
2901353,Andorinha,ANDORINHA,-10.28002,-39.87254
2901403,Angical,ANGICAL,-11.99597,-44.64694
2901502,Anguera,ANGUERA,-12.18277,-39.19288
2901601,Antas,ANTAS,-10.4083,-38.29287
2901700,Antônio Cardoso,ANTONIO CARDOSO,-12.38269,-39.14506
2901809,Antônio Gonçalves,ANTONIO GONCALVES,-10.60173,-40.36401
2901908,Aporá,APORA,-11.73196,-38.19362
2901957,Apuarema,APUAREMA,-13.82417,-39.75057
2902054,Araçás,ARACAS,-12.172,-38.21302
2902005,Aracatu,ARACATU,-14.37119,-41.37593
2902104,Araci,ARACI,-11.21222,-39.06387
2902203,Aramari,ARAMARI,-12.0501,-38.52412
2902252,Arataca,ARATACA,-15.24347,-39.41186
2902302,Aratuípe,ARATUIPE,-13.08546,-39.07422
2902401,Aurelino Leal,AURELINO LEAL,-14.36433,-39.47808
2902500,Baianópolis,BAIANOPOLIS,-12.65749,-44.43999
2902609,Baixa Grande,BAIXA GRANDE,-11.96485,-40.15287
2902658,Banzaê,BANZAE,-10.61688,-38.65204
2902708,Barra,BARRA,-11.03069,-43.36577
2902807,Barra da Estiva,BARRA DA ESTIVA,-13.64902,-41.0996
2902906,Barra do Choça,BARRA DO CHOCA,-14.91304,-40.58126
2903003,Barra do Mendes,BARRA DO MENDES,-11.9524,-42.10757
2903102,Barra do Rocha,BARRA DO ROCHA,-14.11079,-39.58945
2903201,Barreiras,BARREIRAS,-12.01269,-45.54025
2903235,Barro Alto,BARRO ALTO,-11.84858,-41.83515
2903300,Barro Preto,BARRO PRETO,-14.77923,-39.44631
2903276,Barrocas,BARROCAS,-11.5382,-39.09461
2903409,Belmonte,BELMONTE,-15.93543,-39.17641
2903508,Belo Campo,BELO CAMPO,-14.99767,-41.20418
2903607,Biritinga,BIRITINGA,-11.58352,-38.79252
2903706,Boa Nova,BOA NOVA,-14.35983,-40.2301
2903805,Boa Vista do Tupim,BOA VISTA DO TUPIM,-12.76952,-40.66974
2903904,Bom Jesus da Lapa,BOM JESUS DA LAPA,-13.27678,-43.29324
2903953,Bom Jesus da Serra,BOM JESUS DA SERRA,-14.38923,-40.57348
2904001,Boninal,BONINAL,-12.77688,-41.80221
2904050,Bonito,BONITO,-11.97053,-41.319
2904100,Boquira,BOQUIRA,-12.74106,-42.72289
2904209,Botuporã,BOTUPORA,-13.32673,-42.53473
2904308,Brejões,BREJOES,-13.07488,-39.85325
2904407,Brejolândia,BREJOLANDIA,-12.50027,-43.82457
2904506,Brotas de Macaúbas,BROTAS DE MACAUBAS,-12.08807,-42.44753
2904605,Brumado,BRUMADO,-14.16761,-41.68847
2904704,Buerarema,BUERAREMA,-14.99606,-39.26864
2904753,Buritirama,BURITIRAMA,-10.58795,-43.66859
2904803,Caatiba,CAATIBA,-14.99561,-40.36427
2904852,Cabaceiras do Paraguaçu,CABACEIRAS DO PARAGUACU,-12.56387,-39.19372
2904902,Cachoeira,CACHOEIRA,-12.64682,-38.88541
2905008,Caculé,CACULE,-14.48176,-42.28264
2905107,Caém,CAEM,-11.14294,-40.28992
2905156,Caetanos,CAETANOS,-14.3136,-40.92401
2905206,Caetité,CAETITE,-13.94762,-42.47907
2905305,Cafarnaum,CAFARNAUM,-11.7335,-41.50102
2905404,Cairu,CAIRU,-13.50722,-38.98405
2905503,Caldeirão Grande,CALDEIRAO GRANDE,-11.03987,-40.22315
2905602,Camacan,CAMACAN,-15.44632,-39.51799
2905701,Camaçari,CAMACARI,-12.6691,-38.20625
2905800,Camamu,CAMAMU,-14.01059,-39.16421
2905909,Campo Alegre de Lourdes,CAMPO ALEGRE DE LOURDES,-9.56161,-43.16008
2906006,Campo Formoso,CAMPO FORMOSO,-10.25205,-40.7288
2906105,Canápolis,CANAPOLIS,-13.09704,-44.20393
2906204,Canarana,CANARANA,-11.7534,-41.69868
2906303,Canavieiras,CANAVIEIRAS,-15.65098,-39.10842
2906402,Candeal,CANDEAL,-11.87006,-39.18934
2906501,Candeias,CANDEIAS,-12.67905,-38.48189
2906600,Candiba,CANDIBA,-14.40312,-42.8316
2906709,Cândido Sales,CANDIDO SALES,-15.3545,-41.26972
2906808,Cansanção,CANSANCAO,-10.72719,-39.47332
2906824,Canudos,CANUDOS,-10.0058,-38.99486
2906857,Capela do Alto Alegre,CAPELA DO ALTO ALEGRE,-11.67146,-39.82683
2906873,Capim Grosso,CAPIM GROSSO,-11.30675,-39.9952
2906899,Caraíbas,CARAIBAS,-14.62539,-41.28591
2906907,Caravelas,CARAVELAS,-17.65688,-39.68916
2907004,Cardeal da Silva,CARDEAL DA SILVA,-12.04378,-37.93866
2907103,Carinhanha,CARINHANHA,-14.01907,-43.85001
2907202,Casa Nova,CASA NOVA,-9.24082,-41.33652
2907301,Castro Alves,CASTRO ALVES,-12.73255,-39.36473
2907400,Catolândia,CATOLANDIA,-12.27311,-44.69636
2907509,Catu,CATU,-12.33307,-38.41306
2907558,Caturama,CATURAMA,-13.23286,-42.31946
2907608,Central,CENTRAL,-11.15122,-42.11259
2907707,Chorrochó,CHORROCHO,-9.27031,-39.18912
2907806,Cícero Dantas,CICERO DANTAS,-10.50711,-38.4539
2907905,Cipó,CIPO,-11.10708,-38.52423
2908002,Coaraci,COARACI,-14.63218,-39.59477
2908101,Cocos,COCOS,-14.49643,-45.21925
2908200,Conceição da Feira,CONCEICAO DA FEIRA,-12.50663,-39.00075
2908309,Conceição do Almeida,CONCEICAO DO ALMEIDA,-12.85958,-39.24378
2908408,Conceição do Coité,CONCEICAO DO COITE,-11.52337,-39.24929
2908507,Conceição do Jacuípe,CONCEICAO DO JACUIPE,-12.33595,-38.73678
2908606,Conde,CONDE,-11.82799,-37.67685
2908705,Condeúba,CONDEUBA,-14.92092,-42.05056
2908804,Contendas do Sincorá,CONTENDAS DO SINCORA,-13.83946,-41.09392
2908903,Coração de Maria,CORACAO DE MARIA,-12.20895,-38.78483
2909000,Cordeiros,CORDEIROS,-15.0394,-41.90995
2909109,Coribe,CORIBE,-13.81476,-44.37654
2909208,Coronel João Sá,CORONEL JOAO SA,-10.28109,-37.93761
2909307,Correntina,CORRENTINA,-13.46673,-45.39574
2909406,Cotegipe,COTEGIPE,-11.7114,-44.32996
2909505,Cravolândia,CRAVOLANDIA,-13.42313,-39.78485
2909604,Crisópolis,CRISOPOLIS,-11.51979,-38.17264
2909703,Cristópolis,CRISTOPOLIS,-12.19389,-44.26157
2909802,Cruz das Almas,CRUZ DAS ALMAS,-12.68298,-39.11925
2909901,Curaçá,CURACA,-9.22238,-39.65132
2910008,Dário Meira,DARIO MEIRA,-14.40382,-39.9886
2910057,Dias d'Ávila,DIAS D'AVILA,-12.60202,-38.28478
2910107,Dom Basílio,DOM BASILIO,-13.85615,-41.71351
2910206,Dom Macedo Costa,DOM MACEDO COSTA,-12.91206,-39.17133
2910305,Elísio Medrado,ELISIO MEDRADO,-12.93534,-39.52463
2910404,Encruzilhada,ENCRUZILHADA,-15.59327,-41.00223
2910503,Entre Rios,ENTRE RIOS,-12.06358,-38.04726
2900504,Érico Cardoso,ERICO CARDOSO,-13.39869,-42.0668
2910602,Esplanada,ESPLANADA,-11.9303,-37.8845
2910701,Euclides da Cunha,EUCLIDES DA CUNHA,-10.46502,-38.91362
2910727,Eunápolis,EUNAPOLIS,-16.29952,-39.60693
2910750,Fátima,FATIMA,-10.597,-38.20135
2910776,Feira da Mata,FEIRA DA MATA,-14.13151,-44.23246
2910800,Feira de Santana,FEIRA DE SANTANA,-12.19407,-39.03637
2910859,Filadélfia,FILADELFIA,-10.72302,-40.13824
2910909,Firmino Alves,FIRMINO ALVES,-14.92711,-39.91144
2911006,Floresta Azul,FLORESTA AZUL,-14.83979,-39.71702
2911105,Formosa do Rio Preto,FORMOSA DO RIO PRETO,-11.01411,-45.7458
2911204,Gandu,GANDU,-13.78895,-39.4817
2911253,Gavião,GAVIAO,-11.50804,-39.75635
2911303,Gentio do Ouro,GENTIO DO OURO,-11.41071,-42.60533
2911402,Glória,GLORIA,-9.23019,-38.44546
2911501,Gongogi,GONGOGI,-14.2763,-39.58745
2911600,Governador Mangabeira,GOVERNADOR MANGABEIRA,-12.58324,-39.06956
2911659,Guajeru,GUAJERU,-14.55946,-41.98408
2911709,Guanambi,GUANAMBI,-14.20403,-42.81911
2911808,Guaratinga,GUARATINGA,-16.5509,-39.93807
2911857,Heliópolis,HELIOPOLIS,-10.75002,-38.30866
2911907,Iaçu,IACU,-12.81316,-40.1118
2912004,Ibiassucê,IBIASSUCE,-14.29128,-42.30535
2912103,Ibicaraí,IBICARAI,-14.84961,-39.5676
2912202,Ibicoara,IBICOARA,-13.38208,-41.32591
2912301,Ibicuí,IBICUI,-14.64186,-39.86401
2912400,Ibipeba,IBIPEBA,-11.57181,-42.18272
2912509,Ibipitanga,IBIPITANGA,-12.86006,-42.36013
2912608,Ibiquera,IBIQUERA,-12.60325,-40.88551
2912707,Ibirapitanga,IBIRAPITANGA,-14.06502,-39.43525
2912806,Ibirapuã,IBIRAPUA,-17.74273,-40.00972
2912905,Ibirataia,IBIRATAIA,-13.97189,-39.62401
2913002,Ibitiara,IBITIARA,-12.57565,-42.28386
2913101,Ibititá,IBITITA,-11.57883,-41.91562
2913200,Ibotirama,IBOTIRAMA,-12.03817,-43.20463
2913309,Ichu,ICHU,-11.73142,-39.15118
2913408,Igaporã,IGAPORA,-13.86385,-42.70682
2913457,Igrapiúna,IGRAPIUNA,-13.8714,-39.20795
2913507,Iguaí,IGUAI,-14.633,-40.06629
2913606,Ilhéus,ILHEUS,-14.75414,-39.19164
2913705,Inhambupe,INHAMBUPE,-11.8039,-38.40314
2913804,Ipecaetá,IPECAETA,-12.31036,-39.32727
2913903,Ipiaú,IPIAU,-14.0538,-39.72424
2914000,Ipirá,IPIRA,-12.21199,-39.7779
2914109,Ipupiara,IPUPIARA,-11.83615,-42.50164
2914208,Irajuba,IRAJUBA,-13.22916,-40.05126
2914307,Iramaia,IRAMAIA,-13.47013,-40.91668
2914406,Iraquara,IRAQUARA,-12.24863,-41.58246
2914505,Irará,IRARA,-12.04474,-38.75356
2914604,Irecê,IRECE,-11.30778,-41.83956
2914653,Itabela,ITABELA,-16.66293,-39.5541
2914703,Itaberaba,ITABERABA,-12.49943,-40.26248
2914802,Itabuna,ITABUNA,-14.85342,-39.31184
2914901,Itacaré,ITACARE,-14.36177,-39.15757
2915007,Itaeté,ITAETE,-13.09097,-41.0386
2915106,Itagi,ITAGI,-14.15935,-40.02448
2915205,Itagibá,ITAGIBA,-14.25305,-39.82881
2915304,Itagimirim,ITAGIMIRIM,-16.09593,-39.73615
2915353,Itaguaçu da Bahia,ITAGUACU DA BAHIA,-10.76926,-42.23833
2915403,Itaju do Colônia,ITAJU DO COLONIA,-15.14956,-39.73109
2915502,Itajuípe,ITAJUIPE,-14.67229,-39.44484
2915601,Itamaraju,ITAMARAJU,-17.00752,-39.76525
2915700,Itamari,ITAMARI,-13.76682,-39.66766
2915809,Itambé,ITAMBE,-15.1585,-40.46174
2915908,Itanagra,ITANAGRA,-12.31555,-38.04358
2916005,Itanhém,ITANHEM,-17.11648,-40.37924
2916104,Itaparica,ITAPARICA,-12.89245,-38.65648
2916203,Itapé,ITAPE,-14.95447,-39.49778
2916302,Itapebi,ITAPEBI,-15.9127,-39.65437
2916401,Itapetinga,ITAPETINGA,-15.30046,-40.05871
2916500,Itapicuru,ITAPICURU,-11.19113,-38.19568
2916609,Itapitanga,ITAPITANGA,-14.47397,-39.62198
2916708,Itaquara,ITAQUARA,-13.44819,-39.8979
2916807,Itarantim,ITARANTIM,-15.69995,-40.04827
2916856,Itatim,ITATIM,-12.71277,-39.73633
2916906,Itiruçu,ITIRUCU,-13.48894,-40.15201
2917003,Itiúba,ITIUBA,-10.73026,-39.84631
2917102,Itororó,ITORORO,-15.04886,-40.00476
2917201,Ituaçu,ITUACU,-13.83661,-41.38917
2917300,Ituberá,ITUBERA,-13.7485,-39.15303
2917334,Iuiu,IUIU,-14.46497,-43.54239
2917359,Jaborandi,JABORANDI,-14.03117,-45.43961
2917409,Jacaraci,JACARACI,-14.78486,-42.32293
2917508,Jacobina,JACOBINA,-11.13522,-40.56768
2917607,Jaguaquara,JAGUAQUARA,-13.5536,-39.95598
2917706,Jaguarari,JAGUARARI,-10.04284,-40.06961
2917805,Jaguaripe,JAGUARIPE,-13.1211,-38.98514
2917904,Jandaíra,JANDAIRA,-11.5968,-37.5946
2918001,Jequié,JEQUIE,-13.87763,-40.14643
2918100,Jeremoabo,JEREMOABO,-9.98147,-38.49949
2918209,Jiquiriçá,JIQUIRICA,-13.32281,-39.58403
2918308,Jitaúna,JITAUNA,-13.96097,-39.86658
2918357,João Dourado,JOAO DOURADO,-11.21917,-41.5666
2918407,Juazeiro,JUAZEIRO,-9.55721,-40.27492
2918456,Jucuruçu,JUCURUCU,-16.84379,-40.10299
2918506,Jussara,JUSSARA,-10.926,-41.88023
2918555,Jussari,JUSSARI,-15.13707,-39.49797
2918605,Jussiape,JUSSIAPE,-13.51122,-41.59842
2918704,Lafaiete Coutinho,LAFAIETE COUTINHO,-13.64053,-40.2919
2918753,Lagoa Real,LAGOA REAL,-14.04681,-42.22128
2918803,Laje,LAJE,-13.17055,-39.34554
2918902,Lajedão,LAJEDAO,-17.55843,-40.30939
2919009,Lajedinho,LAJEDINHO,-12.38157,-40.96284
2919058,Lajedo do Tabocal,LAJEDO DO TABOCAL,-13.46054,-40.28178
2919108,Lamarão,LAMARAO,-11.78543,-38.90862
2919157,Lapão,LAPAO,-11.501,-41.77612
2919207,Lauro de Freitas,LAURO DE FREITAS,-12.86593,-38.32722
2919306,Lençóis,LENCOIS,-12.42487,-41.33686
2919405,Licínio de Almeida,LICINIO DE ALMEIDA,-14.58448,-42.46917
2919504,Livramento de Nossa Senhora,LIVRAMENTO DE NOSSA SENHORA,-13.81062,-41.99196
2919553,Luís Eduardo Magalhães,LUIS EDUARDO MAGALHAES,-12.19789,-46.01919
2919603,Macajuba,MACAJUBA,-12.12772,-40.26348
2919702,Macarani,MACARANI,-15.55184,-40.40151
2919801,Macaúbas,MACAUBAS,-13.10905,-42.69352
2919900,Macururé,MACURURE,-9.29127,-38.89692
2919926,Madre de Deus,MADRE DE DEUS,-12.74079,-38.64091
2919959,Maetinga,MAETINGA,-14.65769,-41.51473
2920007,Maiquinique,MAIQUINIQUE,-15.68036,-40.26778
2920106,Mairi,MAIRI,-11.73234,-40.17923
2920205,Malhada,MALHADA,-14.21762,-43.64606
2920304,Malhada de Pedras,MALHADA DE PEDRAS,-14.35105,-41.84599
2920403,Manoel Vitorino,MANOEL VITORINO,-14.05029,-40.55009
2920452,Mansidão,MANSIDAO,-11.12689,-44.10763
2920502,Maracás,MARACAS,-13.49383,-40.55526
2920601,Maragogipe,MARAGOGIPE,-12.82359,-38.93773
2920700,Maraú,MARAU,-14.1548,-39.14838
2920809,Marcionílio Souza,MARCIONILIO SOUZA,-13.14037,-40.67545
2920908,Mascote,MASCOTE,-15.66798,-39.41924
2921005,Mata de São João,MATA DE SAO JOAO,-12.48401,-38.14961
2921054,Matina,MATINA,-13.84794,-42.94075
2921104,Medeiros Neto,MEDEIROS NETO,-17.36069,-40.28385
2921203,Miguel Calmon,MIGUEL CALMON,-11.42159,-40.62313
2921302,Milagres,MILAGRES,-12.90036,-39.7978
2921401,Mirangaba,MIRANGABA,-10.77544,-40.71641
2921450,Mirante,MIRANTE,-14.1679,-40.7614
2921500,Monte Santo,MONTE SANTO,-10.38373,-39.45304
2921609,Morpará,MORPARA,-11.75146,-43.04001
2921708,Morro do Chapéu,MORRO DO CHAPEU,-11.46493,-41.16673
2921807,Mortugaba,MORTUGABA,-14.97413,-42.32081
2921906,Mucugê,MUCUGE,-13.06575,-41.4744
2922003,Mucuri,MUCURI,-18.05827,-39.86736
2922052,Mulungu do Morro,MULUNGU DO MORRO,-11.97786,-41.52234
2922102,Mundo Novo,MUNDO NOVO,-11.95197,-40.55991
2922201,Muniz Ferreira,MUNIZ FERREIRA,-13.00189,-39.08741
2922250,Muquém do São Francisco,MUQUEM DO SAO FRANCISCO,-12.21198,-43.49941
2922300,Muritiba,MURITIBA,-12.62202,-39.08784
2922409,Mutuípe,MUTUIPE,-13.31778,-39.50856
2922508,Nazaré,NAZARE,-12.95683,-38.98183
2922607,Nilo Peçanha,NILO PECANHA,-13.66079,-39.17476
2922656,Nordestina,NORDESTINA,-10.87446,-39.451
2922706,Nova Canaã,NOVA CANAA,-14.86001,-40.17936
2922730,Nova Fátima,NOVA FATIMA,-11.62074,-39.63653
2922755,Nova Ibiá,NOVA IBIA,-13.82231,-39.58338
2922805,Nova Itarana,NOVA ITARANA,-13.0443,-40.03494
2922854,Nova Redenção,NOVA REDENCAO,-12.80037,-41.09017
2922904,Nova Soure,NOVA SOURE,-11.31241,-38.55678
2923001,Nova Viçosa,NOVA VICOSA,-17.89988,-39.71465
2923035,Novo Horizonte,NOVO HORIZONTE,-12.83972,-42.1303
2923050,Novo Triunfo,NOVO TRIUNFO,-10.36151,-38.45346
2923100,Olindina,OLINDINA,-11.4343,-38.35587
2923209,Oliveira dos Brejinhos,OLIVEIRA DOS BREJINHOS,-12.28282,-42.73549
2923308,Ouriçangas,OURICANGAS,-12.00885,-38.65267
2923357,Ourolândia,OUROLANDIA,-10.8475,-41.13718
2923407,Palmas de Monte Alto,PALMAS DE MONTE ALTO,-14.17506,-43.21798
2923506,Palmeiras,PALMEIRAS,-12.55202,-41.55424
2923605,Paramirim,PARAMIRIM,-13.52079,-42.23951
2923704,Paratinga,PARATINGA,-12.69087,-43.06367
2923803,Paripiranga,PARIPIRANGA,-10.61462,-37.89875
2923902,Pau Brasil,PAU BRASIL,-15.47029,-39.69105
2924009,Paulo Afonso,PAULO AFONSO,-9.53953,-38.29447
2924058,Pé de Serra,PE DE SERRA,-11.87035,-39.60874
2924108,Pedrão,PEDRAO,-12.13037,-38.63814
2924207,Pedro Alexandre,PEDRO ALEXANDRE,-10.06338,-37.93941
2924306,Piatã,PIATA,-13.04543,-41.87867
2924405,Pilão Arcado,PILAO ARCADO,-10.0078,-43.11516
2924504,Pindaí,PINDAI,-14.47183,-42.67822
2924603,Pindobaçu,PINDOBACU,-10.72301,-40.34243
2924652,Pintadas,PINTADAS,-11.8697,-39.89658
2924678,Piraí do Norte,PIRAI DO NORTE,-13.80772,-39.37725
2924702,Piripá,PIRIPA,-15.00477,-41.71692
2924801,Piritiba,PIRITIBA,-11.69573,-40.60694
2924900,Planaltino,PLANALTINO,-13.18715,-40.30266
2925006,Planalto,PLANALTO,-14.70751,-40.45693
2925105,Poções,POCOES,-14.53618,-40.3811
2925204,Pojuca,POJUCA,-12.36156,-38.25188
2925253,Ponto Novo,PONTO NOVO,-10.95954,-40.10674
2925303,Porto Seguro,PORTO SEGURO,-16.62546,-39.27938
2925402,Potiraguá,POTIRAGUA,-15.68295,-39.7703
2925501,Prado,PRADO,-17.13038,-39.35215
2925600,Presidente Dutra,PRESIDENTE DUTRA,-11.30426,-41.99603
2925709,Presidente Jânio Quadros,PRESIDENTE JANIO QUADROS,-14.69877,-41.72383
2925758,Presidente Tancredo Neves,PRESIDENTE TANCREDO NEVES,-13.44934,-39.41808
2925808,Queimadas,QUEIMADAS,-11.05743,-39.75204
2925907,Quijingue,QUIJINGUE,-10.77666,-39.04743
2925931,Quixabeira,QUIXABEIRA,-11.39327,-40.12016
2925956,Rafael Jambeiro,RAFAEL JAMBEIRO,-12.47803,-39.57249
2926004,Remanso,REMANSO,-9.59399,-42.24583
2926103,Retirolândia,RETIROLANDIA,-11.50465,-39.41732
2926202,Riachão das Neves,RIACHAO DAS NEVES,-11.62265,-45.21807
2926301,Riachão do Jacuípe,RIACHAO DO JACUIPE,-11.80064,-39.42252
2926400,Riacho de Santana,RIACHO DE SANTANA,-13.6329,-43.05006
2926509,Ribeira do Amparo,RIBEIRA DO AMPARO,-10.97061,-38.37832
2926608,Ribeira do Pombal,RIBEIRA DO POMBAL,-10.79148,-38.54334
2926657,Ribeirão do Largo,RIBEIRAO DO LARGO,-15.42601,-40.65197
2926707,Rio de Contas,RIO DE CONTAS,-13.58247,-41.74565
2926806,Rio do Antônio,RIO DO ANTONIO,-14.30874,-42.08383
2926905,Rio do Pires,RIO DO PIRES,-13.13316,-42.14976
2927002,Rio Real,RIO REAL,-11.54648,-37.91369
2927101,Rodelas,RODELAS,-9.18586,-38.69217
2927200,Ruy Barbosa,RUY BARBOSA,-12.24334,-40.62854
2927309,Salinas da Margarida,SALINAS DA MARGARIDA,-12.88473,-38.76033
2927408,Salvador,SALVADOR,-12.87453,-38.51436
2927507,Santa Bárbara,SANTA BARBARA,-11.93973,-38.9818
2927606,Santa Brígida,SANTA BRIGIDA,-9.76966,-38.16957
2927705,Santa Cruz Cabrália,SANTA CRUZ CABRALIA,-16.22968,-39.20197
2927804,Santa Cruz da Vitória,SANTA CRUZ DA VITORIA,-14.89217,-39.81356
2927903,Santa Inês,SANTA INES,-13.28358,-39.84946
2928059,Santa Luzia,SANTA LUZIA,-15.4483,-39.24179
2928109,Santa Maria da Vitória,SANTA MARIA DA VITORIA,-13.21861,-44.37855
2928406,Santa Rita de Cássia,SANTA RITA DE CASSIA,-11.00745,-44.55604
2928505,Santa Terezinha,SANTA TEREZINHA,-12.73417,-39.57321
2928000,Santaluz,SANTALUZ,-11.21966,-39.48587
2928208,Santana,SANTANA,-13.06491,-43.94179
2928307,Santanópolis,SANTANOPOLIS,-11.9741,-38.8621
2928604,Santo Amaro,SANTO AMARO,-12.55908,-38.76588
2928703,Santo Antônio de Jesus,SANTO ANTONIO DE JESUS,-13.0087,-39.2291
2928802,Santo Estêvão,SANTO ESTEVAO,-12.46721,-39.26796
2928901,São Desidério,SAO DESIDERIO,-12.80099,-45.49098
2928950,São Domingos,SAO DOMINGOS,-11.45415,-39.5809
2929107,São Felipe,SAO FELIPE,-12.84937,-39.09346
2929008,São Félix,SAO FELIX,-12.67336,-38.99782
2929057,São Félix do Coribe,SAO FELIX DO CORIBE,-13.5516,-44.03094
2929206,São Francisco do Conde,SAO FRANCISCO DO CONDE,-12.64989,-38.63364
2929255,São Gabriel,SAO GABRIEL,-11.06653,-41.69955
2929305,São Gonçalo dos Campos,SAO GONCALO DOS CAMPOS,-12.41559,-38.94365
2929354,São José da Vitória,SAO JOSE DA VITORIA,-15.069,-39.35412
2929370,São José do Jacuípe,SAO JOSE DO JACUIPE,-11.441,-39.91062
2929404,São Miguel das Matas,SAO MIGUEL DAS MATAS,-13.05525,-39.42233
2929503,São Sebastião do Passé,SAO SEBASTIAO DO PASSE,-12.51846,-38.49693
2929602,Sapeaçu,SAPEACU,-12.72326,-39.21501
2929701,Sátiro Dias,SATIRO DIAS,-11.57359,-38.59049
2929750,Saubara,SAUBARA,-12.77318,-38.76746
2929800,Saúde,SAUDE,-10.91081,-40.38125
2929909,Seabra,SEABRA,-12.4198,-41.8848
2930006,Sebastião Laranjeiras,SEBASTIAO LARANJEIRAS,-14.57226,-43.12703
2930105,Senhor do Bonfim,SENHOR DO BONFIM,-10.48639,-40.11495
2930204,Sento Sé,SENTO SE,-10.10805,-41.64888
2930154,Serra do Ramalho,SERRA DO RAMALHO,-13.48431,-43.67644
2930303,Serra Dourada,SERRA DOURADA,-12.80585,-43.79884
2930402,Serra Preta,SERRA PRETA,-12.09642,-39.3777
2930501,Serrinha,SERRINHA,-11.66604,-38.99438
2930600,Serrolândia,SERROLANDIA,-11.43076,-40.25995
2930709,Simões Filho,SIMOES FILHO,-12.76776,-38.40106
2930758,Sítio do Mato,SITIO DO MATO,-12.85447,-43.47435
2930766,Sítio do Quinto,SITIO DO QUINTO,-10.32925,-38.15385
2930774,Sobradinho,SOBRADINHO,-9.65695,-40.88232
2930808,Souto Soares,SOUTO SOARES,-12.02889,-41.78866
2930907,Tabocas do Brejo Velho,TABOCAS DO BREJO VELHO,-12.47791,-44.15613
2931004,Tanhaçu,TANHACU,-14.1465,-41.19371
2931053,Tanque Novo,TANQUE NOVO,-13.55581,-42.53688
2931103,Tanquinho,TANQUINHO,-11.95744,-39.09552
2931202,Taperoá,TAPEROA,-13.57282,-39.22709
2931301,Tapiramutá,TAPIRAMUTA,-11.87623,-40.7909
2931350,Teixeira de Freitas,TEIXEIRA DE FREITAS,-17.42409,-39.78696
2931400,Teodoro Sampaio,TEODORO SAMPAIO,-12.26582,-38.6162
2931509,Teofilândia,TEOFILANDIA,-11.47076,-38.9511
2931608,Teolândia,TEOLANDIA,-13.55321,-39.49586
2931707,Terra Nova,TERRA NOVA,-12.39548,-38.60301
2931806,Tremedal,TREMEDAL,-15.05468,-41.47215
2931905,Tucano,TUCANO,-11.03489,-38.81236
2932002,Uauá,UAUA,-9.90665,-39.46302
2932101,Ubaíra,UBAIRA,-13.27474,-39.67981
2932200,Ubaitaba,UBAITABA,-14.2684,-39.42305
2932309,Ubatã,UBATA,-14.08598,-39.52183
2932408,Uibaí,UIBAI,-11.37946,-42.10417
2932457,Umburanas,UMBURANAS,-10.57539,-41.2493
2932507,Una,UNA,-15.22019,-39.15208
2932606,Urandi,URANDI,-14.73666,-42.684
2932705,Uruçuca,URUCUCA,-14.52611,-39.22883
2932804,Utinga,UTINGA,-12.05133,-41.06791
2932903,Valença,VALENCA,-13.34787,-39.19397
2933000,Valente,VALENTE,-11.3771,-39.45152
2933059,Várzea da Roça,VARZEA DA ROCA,-11.59755,-40.06734
2933109,Várzea do Poço,VARZEA DO POCO,-11.5435,-40.31501
2933158,Várzea Nova,VARZEA NOVA,-11.12295,-41.0192
2933174,Varzedo,VARZEDO,-12.95569,-39.3921
2933208,Vera Cruz,VERA CRUZ,-13.0078,-38.69868
2933257,Vereda,VEREDA,-17.18386,-39.97022
2933307,Vitória da Conquista,VITORIA DA CONQUISTA,-15.02147,-40.91231
2933406,Wagner,WAGNER,-12.22995,-41.14503
2933455,Wanderley,WANDERLEY,-11.80785,-43.9076
2933505,Wenceslau Guimarães,WENCESLAU GUIMARAES,-13.62839,-39.61917
2933604,Xique-Xique,XIQUE-XIQUE,-10.98309,-42.77896
